language,domain,dataset,global_ratio,local_ratio,sampled_tokens,total_tokens
ar,local,local--الهيئة الوطنية للأمن السيبراني,0.0021,0.0071,"64,094,279","221,056"
ar,local,local--الهيئة العامة للأمن الغذائي,0.0002,0.0008,"7,020,749","24,214"
ar,local,local--الهيئة العامة للغذاء والدواء,0.0001,0.0002,"2,049,337","7,068"
ar,local,local--هيئة الرقابة النووية والاشعاعية,0.0001,0.0003,"2,646,626","9,128"
ar,local,local--هيئة الهلال الأحمر السعودي,0.0027,0.0089,"80,492,459","277,612"
ar,local,local--وزارة البيئة والمياه والزراعة,0.0005,0.0018,"16,413,257","56,608"
ar,local,local--وزارة الطاقة,0.0,0.0,0,0
ar,local,local--وزارة المالية,0.0,0.0,0,0
ar,news,news--Al Watan,0.0,0.0,0,0
ar,news,news--AlArabia,0.0,0.0,0,0
ar,news,news--AlMadina,0.0,0.0,0,0
ar,news,news--AlWatan,0.0,0.0,0,0
ar,news,news--Aloula,0.0,0.0,0,0
ar,news,news--Makkah,0.0,0.0,0,0
ar,news,news--Robb report Web,0.0,0.0,0,0
ar,news,news--SBC,0.0,0.0,0,0
ar,news,news--SaudiBroadcastingAuthority (SBA),0.0,0.0,0,0
ar,news,news--Sayidatyweb,0.0,0.0,0,0
ar,news,news--aawsatweb,0.0,0.0,0,0
ar,news,news--abu-elkhair,0.0,0.0,0,0
ar,news,news--ajdir,0.0,0.0,0,0
ar,news,news--aljazera-newspaper,0.0,0.0,0,0
ar,news,news--almadina-newspaper-archive,0.0,0.0,0,0
ar,news,news--alriyadh-newspaper,0.0,0.0,0,0
ar,news,news--alwatan-newspaper-archives,0.0,0.0,0,0
ar,news,news--alwatan-newspaper,0.0,0.0,0,0
ar,news,news--alyoum-newspaper,0.0,0.0,0,0
ar,news,news--amina,0.0,0.0,0,0
ar,news,news--apptek-newspaper-scraping,0.0,0.0,0,0
ar,news,news--aranpcc,0.0,0.0,0,0
ar,news,news--eqtisadiyahnp,0.0,0.0,0,0
ar,news,news--gigaword-5th-arabic,0.0,0.0,0,0
ar,news,news--hiaweb,0.0,0.0,0,0
ar,news,news--independentarabiyahweb,0.0,0.0,0,0
ar,news,news--independenturduweb,0.0,0.0,0,0
ar,news,news--iwan-anad,0.0,0.0,0,0
ar,news,news--makkah-newspaper-archives,0.0,0.0,0,0
ar,news,news--makkah-newspaper,0.0,0.0,0,0
ar,news,news--metadialog-news,0.0,0.0,0,0
ar,news,news--mnad,0.0,0.0,0,0
ar,news,news--newspaper-scraping,0.0,0.0,0,0
ar,news,news--newstent,0.0,0.0,0,0
ar,news,news--roots-ar-sanad,0.0,0.0,0,0
ar,news,news--roots-ar-wikinews,0.0,0.0,0,0
ar,news,news--sdaia-scraped-news-batch-8,0.0,0.0,0,0
ar,news,news--spa-news-20y,0.0,0.0,0,0
ar,news,news--ummalquranp,0.0,0.0,0,0
ar,others,others--almojam-org,0.0,0.0,0,0
ar,others,others--alpheratzmag,0.0,0.0,0,0
ar,others,others--artravelers,0.0,0.0,0,0
ar,others,others--brad,0.0,0.0,0,0
ar,others,others--deem-docs,0.0,0.0,0,0
ar,others,others--deem,0.0,0.0,0,0
ar,others,others--forums-from-hdd,0.0,0.0,0,0
ar,others,others--gov-guides,0.0,0.0,0,0
ar,others,others--hekma,0.0,0.0,0,0
ar,others,others--ketabpedia,0.0,0.0,0,0
ar,others,others--mawdoo3,0.0,0.0,0,0
ar,others,others--noor-books-27-aug-docs,0.0,0.0,0,0
ar,others,others--noor-books-batch-2-docs,0.0,0.0,0,0
ar,others,others--noor-books-pdf2,0.0,0.0,0,0
ar,others,others--noor-books-pdfs,0.0,0.0,0,0
ar,others,others--ocr-eval,0.0,0.0,0,0
ar,others,others--rasael-alarabiya,0.0,0.0,0,0
ar,others,others--roots-ar-labr,0.0,0.0,0,0
ar,others,others--roots-ar-uncorpus,0.0,0.0,0,0
ar,others,others--roots-ar-wikiquote,0.0,0.0,0,0
ar,others,others--roots-ar-wikisource,0.0,0.0,0,0
ar,others,others--roots-ar-wikiversity,0.0,0.0,0,0
ar,others,others--roots-ar-wiktionary,0.0,0.0,0,0
ar,others,others--sdaia-scraped-books-batch-1,0.0,0.0,0,0
ar,others,others--sdaia-scraped-books-batch-2,0.0,0.0,0,0
ar,others,others--sdaia-scraped-others-batch-10,0.0,0.0,0,0
ar,others,others--sdaia-scraped-others-batch-11,0.0,0.0,0,0
ar,others,others--sdaia-scraped-others-batch-12,0.0,0.0,0,0
ar,others,others--sdaia-scraped-others-batch-1,0.0,0.0,0,0
ar,others,others--sdaia-scraped-others-batch-2,0.0,0.0,0,0
ar,others,others--sdaia-scraped-others-batch-3,0.0,0.0,0,0
ar,others,others--sdaia-scraped-others-batch-4,0.0,0.0,0,0
ar,others,others--sdaia-scraped-others-batch-5,0.0,0.0,0,0
ar,others,others--sdaia-scraped-others-batch-6,0.0,0.0,0,0
ar,others,others--sdaia-scraped-others-batch-7,0.0,0.0,0,0
ar,others,others--sdaia-scraped-others-batch-8,0.0,0.0,0,0
ar,others,others--sdaia-scraped-others-batch-9,0.0,0.0,0,0
ar,others,others--sdaia-scraped-pdfs-batch-2,0.0,0.0,0,0
ar,others,others--sdaia-scraped-pdfs-batch-5,0.0,0.0,0,0
ar,others,others--semanoor.books,0.0,0.0,0,0
ar,others,others--startimes,0.0,0.0,0,0
ar,others,others--telegram-batch03,0.0,0.0,0,0
ar,others,others--uqu-poetry-encyclopedia,0.0,0.0,0,0
ar,scientific,scientific--Bahith,0.0,0.0,0,0
ar,scientific,scientific--DrRabeea,0.0,0.0,0,0
ar,scientific,scientific--Gov-content-batch-jan24,0.0,0.0,0,0
ar,scientific,scientific--PDF-Batch-11,0.0,0.0,0,0
ar,scientific,scientific--SDAIA-Batch-10,0.0,0.0,0,0
ar,scientific,scientific--SDAIA-Batch-7,0.0,0.0,0,0
ar,scientific,scientific--SDAIA-Batch-8,0.0,0.0,0,0
ar,scientific,scientific--SDAIA-Batch-9,0.0,0.0,0,0
ar,scientific,scientific--bahith,0.0,0.0,0,0
ar,scientific,scientific--datatreat,0.0,0.0,0,0
ar,scientific,scientific--deem,0.0,0.0,0,0
ar,scientific,scientific--fa,0.0,0.0,0,0
ar,scientific,scientific--gov-batch-jul24-doc,0.0,0.0,0,0
ar,scientific,scientific--gov-content-batch-jul24,0.0,0.0,0,0
ar,scientific,scientific--gph,0.0,0.0,0,0
ar,scientific,scientific--imamu,0.0,0.0,0,0
ar,scientific,scientific--iu,0.0,0.0,0,0
ar,scientific,scientific--ju,0.0,0.0,0,0
ar,scientific,scientific--kapsarc,0.0,0.0,0,0
ar,scientific,scientific--kfnl,0.0,0.0,0,0
ar,scientific,scientific--ksaa,0.0,0.0,0,0
ar,scientific,scientific--ksu,0.0,0.0,0,0
ar,scientific,scientific--mohamedrabeea,0.0,0.0,0,0
ar,scientific,scientific--mohe-gov-sy,0.0,0.0,0,0
ar,scientific,scientific--noor-books,0.0,0.0,0,0
ar,scientific,scientific--pnu,0.0,0.0,0,0
ar,scientific,scientific--psau,0.0,0.0,0,0
ar,scientific,scientific--qu,0.0,0.0,0,0
ar,scientific,scientific--rasael-alarabiya,0.0,0.0,0,0
ar,scientific,scientific--scientific-american-arabic,0.0,0.0,0,0
ar,scientific,scientific--sdaia-scraped-books-batch-5,0.0,0.0,0,0
ar,scientific,scientific--sdaia-scraped-pdfs-batch-1,0.0,0.0,0,0
ar,scientific,scientific--sdaia-scraped-pdfs-batch-2,0.0,0.0,0,0
ar,scientific,scientific--sdaia-scraped-pdfs-batch-3,0.0,0.0,0,0
ar,scientific,scientific--sdaia-scraped-pdfs-batch-4,0.0,0.0,0,0
ar,scientific,scientific--sdaia-scraped-pdfs-batch-5,0.0,0.0,0,0
ar,scientific,scientific--sdaia-scraped-pdfs-batch-6,0.0,0.0,0,0
ar,scientific,scientific--sdaia,0.0,0.0,0,0
ar,scientific,scientific--telegram-batch07,0.0,0.0,0,0
ar,scientific,scientific--tu,0.0,0.0,0,0
ar,scientific,scientific--uhb,0.0,0.0,0,0
ar,scientific,scientific--جامعة الملك سعود,0.0366,0.122,"1,098,184,937","3,030,041.0"
ar,scientific,scientific--وزارة الحرس الوطني,0.0089,0.0296,"266,037,681","734,034.0"
ar,transcribed,transcribed--AudioKetab,0.0,0.0,0,0
ar,transcribed,transcribed--akhdar,0.0,0.0,0,0
ar,transcribed,transcribed--alarwi-App,0.0,0.0,0,0
ar,transcribed,transcribed--fanajeen-App,0.0,0.0,0,0
ar,transcribed,transcribed--habibi,0.0,0.0,0,0
ar,transcribed,transcribed--mgb2,0.0,0.0,0,0
ar,transcribed,transcribed--opensubtitles,0.0,0.0,0,0
ar,transcribed,transcribed--roots-ar-ted-talks-iwslt,0.0,0.0,0,0
ar,transcribed,transcribed--wajeez,0.0,0.0,0,0
ar,translated,translated--En-wikipedia-split-translated,0.0,0.0,0,0
ar,translated,translated--PubMed-Abstracts,0.0,0.0,0,0
ar,translated,translated--en2ar-Pile-FreeLaw,0.0,0.0,0,0
ar,translated,translated--en2ar-books-corpus-formatted,0.0,0.0,0,0
ar,translated,translated--en2ar-c4,0.0,0.0,0,0
ar,translated,translated--en2ar-peS2o,0.0,0.0,0,0
ar,translated,translated--finewebedu-10bt,0.0,0.0,0,0
ar,translated,translated--translated-wiki,0.0,0.0,0,0
ar,web,restructured-web--ClusterlabAi-101B--Accounting,0.0,0.0,0,0
ar,web,restructured-web--ClusterlabAi-101B--Arabic Language,0.0,0.0,0,0
ar,web,restructured-web--ClusterlabAi-101B--Biology,0.0,0.0,0,0
ar,web,restructured-web--ClusterlabAi-101B--Chemistry,0.0,0.0,0,0
ar,web,restructured-web--ClusterlabAi-101B--Computer Science,0.0,0.0,0,0
ar,web,restructured-web--ClusterlabAi-101B--Economy,0.0,0.0,0,0
ar,web,restructured-web--ClusterlabAi-101B--Education,0.0,0.0,0,0
ar,web,restructured-web--ClusterlabAi-101B--Engineering,0.0,0.0,0,0
ar,web,restructured-web--ClusterlabAi-101B--Ethics,0.0,0.0,0,0
ar,web,restructured-web--ClusterlabAi-101B--Finance,0.0,0.0,0,0
ar,web,restructured-web--ClusterlabAi-101B--Geology,0.0,0.0,0,0
ar,web,restructured-web--ClusterlabAi-101B--HR,0.0,0.0,0,0
ar,web,restructured-web--ClusterlabAi-101B--Health and Medicine,0.0,0.0,0,0
ar,web,restructured-web--ClusterlabAi-101B--History,0.0,0.0,0,0
ar,web,restructured-web--ClusterlabAi-101B--Law,0.0,0.0,0,0
ar,web,restructured-web--ClusterlabAi-101B--Literature,0.0,0.0,0,0
ar,web,restructured-web--ClusterlabAi-101B--Management,0.0,0.0,0,0
ar,web,restructured-web--ClusterlabAi-101B--Marketing,0.0,0.0,0,0
ar,web,restructured-web--ClusterlabAi-101B--Mathematics,0.0,0.0,0,0
ar,web,restructured-web--ClusterlabAi-101B--Other,0.0,0.0,0,0
ar,web,restructured-web--ClusterlabAi-101B--Philosophy,0.0,0.0,0,0
ar,web,restructured-web--ClusterlabAi-101B--Physics,0.0,0.0,0,0
ar,web,restructured-web--ClusterlabAi-101B--Poetry,0.0,0.0,0,0
ar,web,restructured-web--ClusterlabAi-101B--Politics,0.0,0.0,0,0
ar,web,restructured-web--ClusterlabAi-101B--Psychology,0.0,0.0,0,0
ar,web,restructured-web--ClusterlabAi-101B--Religion,0.0,0.0,0,0
ar,web,restructured-web--ClusterlabAi-101B--Self Development,0.0,0.0,0,0
ar,web,restructured-web--ClusterlabAi-101B--Sociology,0.0,0.0,0,0
ar,web,restructured-web--ClusterlabAi-101B--Sports,0.0,0.0,0,0
ar,web,restructured-web--ClusterlabAi-101B--Tourism,0.0,0.0,0,0
ar,web,restructured-web--ClusterlabAi-101B--Travel,0.0,0.0,0,0
ar,web,restructured-web--CulturaX-ar--Accounting,0.0,0.0,0,0
ar,web,restructured-web--CulturaX-ar--Arabic Language,0.0,0.0,0,0
ar,web,restructured-web--CulturaX-ar--Biology,0.0,0.0,0,0
ar,web,restructured-web--CulturaX-ar--Chemistry,0.0,0.0,0,0
ar,web,restructured-web--CulturaX-ar--Computer Science,0.0,0.0,0,0
ar,web,restructured-web--CulturaX-ar--Economy,0.0,0.0,0,0
ar,web,restructured-web--CulturaX-ar--Education,0.0,0.0,0,0
ar,web,restructured-web--CulturaX-ar--Engineering,0.0,0.0,0,0
ar,web,restructured-web--CulturaX-ar--Ethics,0.0,0.0,0,0
ar,web,restructured-web--CulturaX-ar--Finance,0.0,0.0,0,0
ar,web,restructured-web--CulturaX-ar--Geology,0.0,0.0,0,0
ar,web,restructured-web--CulturaX-ar--HR,0.0,0.0,0,0
ar,web,restructured-web--CulturaX-ar--Health and Medicine,0.0,0.0,0,0
ar,web,restructured-web--CulturaX-ar--History,0.0,0.0,0,0
ar,web,restructured-web--CulturaX-ar--Law,0.0,0.0,0,0
ar,web,restructured-web--CulturaX-ar--Literature,0.0,0.0,0,0
ar,web,restructured-web--CulturaX-ar--Management,0.0,0.0,0,0
ar,web,restructured-web--CulturaX-ar--Marketing,0.0,0.0,0,0
ar,web,restructured-web--CulturaX-ar--Mathematics,0.0,0.0,0,0
ar,web,restructured-web--CulturaX-ar--Other,0.0,0.0,0,0
ar,web,restructured-web--CulturaX-ar--Philosophy,0.0,0.0,0,0
ar,web,restructured-web--CulturaX-ar--Physics,0.0,0.0,0,0
ar,web,restructured-web--CulturaX-ar--Poetry,0.0,0.0,0,0
ar,web,restructured-web--CulturaX-ar--Politics,0.0,0.0,0,0
ar,web,restructured-web--CulturaX-ar--Psychology,0.0,0.0,0,0
ar,web,restructured-web--CulturaX-ar--Religion,0.0,0.0,0,0
ar,web,restructured-web--CulturaX-ar--Self Development,0.0,0.0,0,0
ar,web,restructured-web--CulturaX-ar--Sociology,0.0,0.0,0,0
ar,web,restructured-web--CulturaX-ar--Sports,0.0,0.0,0,0
ar,web,restructured-web--CulturaX-ar--Tourism,0.0,0.0,0,0
ar,web,restructured-web--CulturaX-ar--Travel,0.0,0.0,0,0
ar,web,restructured-web--arabicweb16-v3--Accounting,0.0,0.0,0,0
ar,web,restructured-web--arabicweb16-v3--Arabic Language,0.0,0.0,0,0
ar,web,restructured-web--arabicweb16-v3--Biology,0.0,0.0,0,0
ar,web,restructured-web--arabicweb16-v3--Chemistry,0.0,0.0,0,0
ar,web,restructured-web--arabicweb16-v3--Computer Science,0.0,0.0,0,0
ar,web,restructured-web--arabicweb16-v3--Economy,0.0,0.0,0,0
ar,web,restructured-web--arabicweb16-v3--Education,0.0,0.0,0,0
ar,web,restructured-web--arabicweb16-v3--Engineering,0.0,0.0,0,0
ar,web,restructured-web--arabicweb16-v3--Ethics,0.0,0.0,0,0
ar,web,restructured-web--arabicweb16-v3--Finance,0.0,0.0,0,0
ar,web,restructured-web--arabicweb16-v3--Geology,0.0,0.0,0,0
ar,web,restructured-web--arabicweb16-v3--HR,0.0,0.0,0,0
ar,web,restructured-web--arabicweb16-v3--Health and Medicine,0.0,0.0,0,0
ar,web,restructured-web--arabicweb16-v3--History,0.0,0.0,0,0
ar,web,restructured-web--arabicweb16-v3--Law,0.0,0.0,0,0
ar,web,restructured-web--arabicweb16-v3--Literature,0.0,0.0,0,0
ar,web,restructured-web--arabicweb16-v3--Management,0.0,0.0,0,0
ar,web,restructured-web--arabicweb16-v3--Marketing,0.0,0.0,0,0
ar,web,restructured-web--arabicweb16-v3--Mathematics,0.0,0.0,0,0
ar,web,restructured-web--arabicweb16-v3--Other,0.0,0.0,0,0
ar,web,restructured-web--arabicweb16-v3--Philosophy,0.0,0.0,0,0
ar,web,restructured-web--arabicweb16-v3--Physics,0.0,0.0,0,0
ar,web,restructured-web--arabicweb16-v3--Poetry,0.0,0.0,0,0
ar,web,restructured-web--arabicweb16-v3--Politics,0.0,0.0,0,0
ar,web,restructured-web--arabicweb16-v3--Psychology,0.0,0.0,0,0
ar,web,restructured-web--arabicweb16-v3--Religion,0.0,0.0,0,0
ar,web,restructured-web--arabicweb16-v3--Self Development,0.0,0.0,0,0
ar,web,restructured-web--arabicweb16-v3--Sociology,0.0,0.0,0,0
ar,web,restructured-web--arabicweb16-v3--Sports,0.0,0.0,0,0
ar,web,restructured-web--arabicweb16-v3--Tourism,0.0,0.0,0,0
ar,web,restructured-web--arabicweb16-v3--Travel,0.0,0.0,0,0
ar,web,restructured-web--arabicweb22--Accounting,0.0,0.0,0,0
ar,web,restructured-web--arabicweb22--Arabic Language,0.0,0.0,0,0
ar,web,restructured-web--arabicweb22--Biology,0.0,0.0,0,0
ar,web,restructured-web--arabicweb22--Chemistry,0.0,0.0,0,0
ar,web,restructured-web--arabicweb22--Computer Science,0.0,0.0,0,0
ar,web,restructured-web--arabicweb22--Economy,0.0,0.0,0,0
ar,web,restructured-web--arabicweb22--Education,0.0,0.0,0,0
ar,web,restructured-web--arabicweb22--Engineering,0.0,0.0,0,0
ar,web,restructured-web--arabicweb22--Ethics,0.0,0.0,0,0
ar,web,restructured-web--arabicweb22--Finance,0.0,0.0,0,0
ar,web,restructured-web--arabicweb22--Geology,0.0,0.0,0,0
ar,web,restructured-web--arabicweb22--HR,0.0,0.0,0,0
ar,web,restructured-web--arabicweb22--Health and Medicine,0.0,0.0,0,0
ar,web,restructured-web--arabicweb22--History,0.0,0.0,0,0
ar,web,restructured-web--arabicweb22--Law,0.0,0.0,0,0
ar,web,restructured-web--arabicweb22--Literature,0.0,0.0,0,0
ar,web,restructured-web--arabicweb22--Management,0.0,0.0,0,0
ar,web,restructured-web--arabicweb22--Marketing,0.0,0.0,0,0
ar,web,restructured-web--arabicweb22--Mathematics,0.0,0.0,0,0
ar,web,restructured-web--arabicweb22--Other,0.0,0.0,0,0
ar,web,restructured-web--arabicweb22--Philosophy,0.0,0.0,0,0
ar,web,restructured-web--arabicweb22--Physics,0.0,0.0,0,0
ar,web,restructured-web--arabicweb22--Poetry,0.0,0.0,0,0
ar,web,restructured-web--arabicweb22--Politics,0.0,0.0,0,0
